language,n,m,load,input_file,ops_executed,op,time_ns,nodes_visited
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1985,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,34118,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,2089,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,29752,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1655,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,27025,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1689,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,25639,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1606,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,24125,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1579,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,23760,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1644,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,23226,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1557,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,23203,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1570,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,23553,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1571,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22745,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1559,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22717,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1916,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22840,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1597,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,21888,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1557,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22007,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1547,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22292,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1683,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22256,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1593,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22295,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1571,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22583,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1576,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22101,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1549,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,21740,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1763,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22492,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1644,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,22807,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1902,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,24436,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1757,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,21920,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1540,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,21573,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1538,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,21546,5706
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,build,1524,199
rust,100,100,query,/workspace/data/input_n100_m100_s42_random_query.txt,300,batch_ops,21419,5706
